Date,Open,High,Low,Close,Volume,Market Cap,Currency
1/1/2021,37.37,38.93,37.05,37.91,"459,165,743","5,473,732,252",$
12/31/2020,38.12,38.16,36.74,37.38,"404,140,896","5,397,344,408",$
12/30/2020,38.95,39.16,36.9,38.14,"501,223,201","5,507,131,905",$
12/29/2020,35.85,39.48,35.34,38.95,"938,849,532","5,625,044,698",$
12/28/2020,33.53,35.98,33.4,35.84,"611,476,292","5,176,189,132",$
12/27/2020,33.48,34.85,32.09,33.51,"567,285,548","4,839,330,614",$
12/26/2020,33.17,33.95,32.6,33.48,"434,464,851","4,834,318,541",$
12/25/2020,32.49,33.44,31.86,33.16,"421,026,462","4,789,239,871",$
12/24/2020,31.11,32.71,30.46,32.5,"488,263,504","4,693,298,909",$
12/23/2020,33.48,34.38,30.07,31.1,"582,613,805","4,490,740,605",$
12/22/2020,32.2,33.76,30.59,33.48,"563,925,549","4,835,157,313",$
12/21/2020,34.2,35.56,31.64,32.27,"583,000,547","4,659,931,518",$
12/20/2020,33.29,35.54,32.67,34.16,"583,559,932","4,932,970,916",$
12/19/2020,30.94,34.17,30.94,33.3,"534,843,839","4,808,212,174",$
12/18/2020,30.18,31.18,29.7,30.94,"359,055,461","4,467,702,132",$
12/17/2020,30.49,31.45,29.83,30.18,"479,985,920","4,358,786,912",$
12/16/2020,29.55,30.6,29.06,30.49,"347,039,607","4,402,984,095",$
12/15/2020,30.03,30.3,29.38,29.55,"294,288,115","4,266,821,620",$
12/14/2020,29.11,30.17,28.69,30.03,"335,453,986","4,336,468,154",$
12/13/2020,28.17,29.25,28.06,29.1,"265,728,020","4,202,475,239",$
12/12/2020,27.36,28.24,27.33,28.16,"238,973,887","4,067,131,459",$
12/11/2020,27.7,27.74,26.77,27.36,"278,060,132","3,951,108,419",$
12/10/2020,28.13,28.24,27.43,27.7,"263,890,750","3,999,511,565",$
12/9/2020,27.64,28.38,27,28.13,"323,390,504","4,062,056,065",$
12/8/2020,29.38,29.49,27.51,27.64,"323,672,206","3,990,863,862",$
12/7/2020,29.53,29.66,29.09,29.38,"238,972,454","4,242,395,534",$
12/6/2020,29.73,30.13,29.1,29.54,"249,993,855","4,265,885,903",$
12/5/2020,29.08,30,28.76,29.73,"307,895,991","4,293,133,190",$
12/4/2020,30.72,31.12,28.93,29.07,"362,626,786","4,198,217,551",$
12/3/2020,30.3,30.77,29.98,30.7,"324,897,560","4,433,921,194",$
12/2/2020,30.15,30.91,29.75,30.3,"371,441,750","4,375,137,745",$
12/1/2020,31.41,31.87,29.48,30.11,"467,818,960","4,347,836,463",$
11/30/2020,30.12,31.53,29.79,31.39,"389,608,481","4,533,324,240",$
11/29/2020,29.16,30.45,28.96,30.12,"347,773,041","4,349,179,641",$
11/28/2020,28.47,29.62,27.99,29.14,"338,275,296","4,208,572,006",$
11/27/2020,28.23,28.71,27.3,28.48,"361,093,513","4,112,003,794",$
11/26/2020,31.32,31.73,26.54,28.2,"659,590,250","4,072,974,928",$
11/25/2020,33.86,35.28,30.77,31.34,"599,500,600","4,526,129,072",$
11/24/2020,30.97,35.11,30.85,33.8,"840,230,024","4,881,396,848",$
11/23/2020,29.93,31.04,29.82,30.97,"433,686,948","4,471,602,512",$
11/22/2020,30.39,31.07,29.09,29.93,"426,289,161","4,321,376,636",$
11/21/2020,28.89,30.73,28.35,30.39,"419,204,706","4,388,701,800",$
11/20/2020,28.09,29.27,28.09,28.89,"321,436,881","4,172,193,980",$
11/19/2020,28.08,28.34,27.65,28.09,"282,317,319","4,056,972,965",$
11/18/2020,28.53,28.78,27.54,28.08,"327,690,836","4,054,382,129",$
11/17/2020,28.17,28.75,28.17,28.53,"320,321,793","4,120,003,069",$
11/16/2020,27.62,28.18,27.5,28.06,"275,039,274","4,052,641,542",$
11/15/2020,27.94,28.17,27.11,27.62,"254,946,427","3,988,657,963",$
11/14/2020,28.18,28.18,27.41,27.94,"254,114,574","4,034,170,650",$
11/13/2020,27.61,28.48,27.56,28.18,"292,737,428","4,069,690,555",$
11/12/2020,27.96,28.16,27.35,27.61,"266,092,376","3,987,759,263",$
11/11/2020,28.19,28.62,27.87,27.96,"279,645,463","4,037,055,489",$
11/10/2020,28.02,28.47,27.71,28.19,"310,738,349","4,071,303,515",$
11/9/2020,28.31,28.92,27.41,28.02,"335,957,338","4,045,986,040",$
11/8/2020,27.74,28.69,27.51,28.31,"321,186,882","4,087,444,400",$
11/7/2020,29.02,29.84,26.99,27.74,"362,934,993","4,005,562,956",$
11/6/2020,27.68,29.42,27.68,29.02,"343,104,562","4,190,389,442",$
11/5/2020,26.93,27.9,26.72,27.68,"299,236,756","3,996,575,588",$
11/4/2020,26.86,26.96,25.97,26.93,"383,972,480","3,889,087,338",$
